user_id	avg_pay_amt	avg_pay_amt_weekdays	avg_pay_amt_weekends
199	[49,65)	[49,65)	[49,65)
200	[36,49)	[36,49)	[36,49)
201	<29	<29	[29,36)
202	[49,65)	[49,65)	[49,65)
203	>=65	>=65	[49,65)
204	<29	<29	<29
205	[29,36)	[29,36)	[29,36)
206	>=65	>=65	[49,65)
207	<29	<29	<29
208	[49,65)	[49,65)	未知
209	[36,49)	[36,49)	[36,49)
210	[36,49)	[29,36)	[36,49)
211	[36,49)	[36,49)	[36,49)
212	[29,36)	[36,49)	[29,36)
213	[29,36)	<29	[29,36)
214	>=65	>=65	>=65
215	[36,49)	[36,49)	[36,49)
216	[29,36)	[36,49)	<29
217	[29,36)	<29	[36,49)
218	[36,49)	[36,49)	<29
219	<29	<29	[49,65)
220	[36,49)	[36,49)	[36,49)
221	[29,36)	[29,36)	<29
222	[49,65)	[49,65)	[49,65)
223	[29,36)	<29	[36,49)
224	[49,65)	未知	>=65
225	[29,36)	[29,36)	[36,49)
226	[49,65)	[36,49)	[36,49)
227	<29	<29	<29
228	[49,65)	[49,65)	>=65
229	[36,49)	[36,49)	[36,49)
230	<29	<29	未知
231	[49,65)	>=65	[49,65)
232	[49,65)	未知	[49,65)
233	[49,65)	[49,65)	[49,65)
234	[49,65)	[49,65)	[49,65)
235	[49,65)	未知	>=65
236	[49,65)	[36,49)	[36,49)
237	[36,49)	[36,49)	[36,49)
238	<29	[29,36)	<29
239	<29	<29	<29
240	>=65	[49,65)	>=65
241	>=65	>=65	>=65
242	<29	<29	<29
243	>=65	>=65	>=65
244	<29	<29	<29
245	[49,65)	[49,65)	[49,65)
246	[49,65)	[49,65)	[49,65)
247	[36,49)	[29,36)	[49,65)
248	[29,36)	[29,36)	[36,49)
249	<29	<29	<29
250	>=65	[49,65)	>=65
251	[29,36)	[29,36)	[36,49)
252	[49,65)	[49,65)	[49,65)
253	[49,65)	[49,65)	>=65
254	>=65	>=65	>=65
255	[29,36)	[36,49)	[29,36)
256	[36,49)	[36,49)	[36,49)
257	>=65	>=65	>=65
258	<29	<29	<29
259	[36,49)	[36,49)	[36,49)
260	<29	<29	<29
261	<29	<29	<29
262	<29	<29	<29
263	>=65	>=65	>=65
264	[36,49)	[36,49)	[36,49)
265	[36,49)	[36,49)	[29,36)
266	[29,36)	[29,36)	[36,49)
267	[29,36)	[36,49)	<29
268	[49,65)	[49,65)	[49,65)
269	<29	<29	<29
270	>=65	>=65	>=65
271	<29	未知	<29
272	<29	<29	<29
273	<29	<29	[36,49)
274	<29	<29	<29
275	<29	<29	[36,49)
276	[36,49)	[29,36)	[49,65)
277	[36,49)	[36,49)	[36,49)
278	[36,49)	未知	[49,65)
279	[49,65)	[49,65)	>=65
280	[36,49)	[36,49)	[36,49)
281	[49,65)	[36,49)	[36,49)
282	>=65	>=65	>=65
283	[49,65)	未知	>=65
284	<29	<29	<29
285	<29	<29	<29
286	<29	<29	<29
287	[36,49)	[36,49)	[36,49)
288	[36,49)	[29,36)	[49,65)
289	<29	<29	<29
290	[49,65)	[49,65)	>=65
291	[49,65)	[49,65)	>=65
292	[49,65)	[49,65)	[49,65)
293	<29	<29	<29
294	[36,49)	[36,49)	[29,36)
295	>=65	>=65	>=65
296	[49,65)	[36,49)	[36,49)
297	>=65	>=65	>=65
298	[49,65)	[49,65)	>=65
299	[29,36)	[29,36)	[29,36)
300	[29,36)	[29,36)	[36,49)
301	[49,65)	[49,65)	[49,65)
302	<29	<29	<29
303	>=65	>=65	>=65
304	[49,65)	[49,65)	>=65
305	[29,36)	<29	[29,36)
306	<29	<29	<29
307	[36,49)	[36,49)	[36,49)
308	[49,65)	[49,65)	[49,65)
309	>=65	>=65	[49,65)
310	>=65	>=65	>=65
311	>=65	>=65	>=65
312	>=65	>=65	>=65
313	[36,49)	未知	[49,65)
314	<29	<29	<29
315	>=65	>=65	>=65
316	<29	<29	<29
317	[36,49)	[36,49)	[36,49)
318	>=65	>=65	>=65
319	>=65	>=65	>=65
320	[49,65)	[49,65)	[49,65)
321	[49,65)	[36,49)	[29,36)
322	[29,36)	[29,36)	<29
323	>=65	>=65	>=65
324	[36,49)	[36,49)	[36,49)
325	[49,65)	[49,65)	[49,65)
326	[36,49)	[36,49)	<29
327	<29	<29	[29,36)
328	>=65	>=65	>=65
329	[49,65)	[49,65)	[49,65)
330	<29	<29	<29
331	>=65	>=65	>=65
332	[29,36)	[29,36)	[29,36)
333	[29,36)	[29,36)	[36,49)
334	[36,49)	[36,49)	[36,49)
335	[49,65)	[49,65)	>=65
336	<29	<29	<29
337	[49,65)	[49,65)	[49,65)
338	[49,65)	未知	>=65
339	[29,36)	[29,36)	[29,36)
340	[36,49)	[36,49)	[36,49)
341	[49,65)	未知	[49,65)
342	[36,49)	[36,49)	[36,49)
343	[49,65)	[49,65)	[49,65)
344	[49,65)	未知	[49,65)
345	[29,36)	[29,36)	<29
346	>=65	>=65	>=65
347	[36,49)	未知	[49,65)
348	>=65	>=65	>=65
349	[36,49)	[36,49)	[29,36)
350	>=65	>=65	>=65
351	[36,49)	未知	>=65
352	>=65	>=65	>=65
353	[36,49)	[29,36)	>=65
354	>=65	>=65	>=65
355	[36,49)	[36,49)	[36,49)
356	>=65	[49,65)	>=65
357	<29	<29	<29
358	<29	<29	<29
359	>=65	>=65	>=65
360	>=65	>=65	[49,65)
361	[36,49)	未知	[49,65)
362	[49,65)	[49,65)	[49,65)
363	<29	<29	<29
364	[36,49)	未知	[49,65)
365	>=65	>=65	>=65
366	[36,49)	未知	[49,65)
367	[29,36)	[29,36)	[36,49)
368	[36,49)	未知	[49,65)
369	[29,36)	[29,36)	[29,36)
370	[49,65)	>=65	[49,65)
371	<29	<29	<29
372	[36,49)	[29,36)	[49,65)
373	[49,65)	[49,65)	>=65
374	[36,49)	[36,49)	[36,49)
375	>=65	>=65	>=65
376	[49,65)	[49,65)	[49,65)
377	<29	<29	<29
378	[29,36)	[29,36)	[36,49)
379	<29	<29	<29
380	<29	<29	<29
381	[36,49)	未知	[49,65)
382	[29,36)	[29,36)	[29,36)
383	[49,65)	[49,65)	[49,65)
384	<29	未知	<29
385	[49,65)	未知	>=65
386	[36,49)	[36,49)	[36,49)
387	[29,36)	[29,36)	<29
388	<29	<29	<29
389	<29	[29,36)	<29
390	[49,65)	未知	>=65
391	[49,65)	[36,49)	[36,49)
392	>=65	>=65	>=65
393	[36,49)	[36,49)	[36,49)
394	<29	<29	[29,36)
395	[36,49)	[36,49)	[29,36)
396	[36,49)	[36,49)	[36,49)
397	<29	[29,36)	<29
398	<29	<29	<29
399	[49,65)	[49,65)	[49,65)
400	>=65	>=65	>=65
401	[29,36)	[29,36)	[29,36)
402	[49,65)	[49,65)	[49,65)
403	[49,65)	[49,65)	>=65
404	<29	<29	[36,49)
405	[49,65)	[49,65)	[49,65)
406	>=65	>=65	>=65
407	[49,65)	>=65	[49,65)
408	[49,65)	[49,65)	>=65
409	<29	<29	<29
410	<29	<29	[29,36)
411	[36,49)	[36,49)	[36,49)
412	<29	<29	<29
413	[29,36)	[29,36)	[29,36)
414	<29	<29	<29
415	[29,36)	[29,36)	[29,36)
416	<29	<29	<29
417	[36,49)	[36,49)	[36,49)
418	>=65	>=65	>=65
419	[49,65)	[49,65)	[49,65)
420	>=65	>=65	>=65
421	<29	[29,36)	<29
422	[49,65)	[49,65)	[49,65)
423	>=65	[49,65)	>=65
424	>=65	>=65	>=65
425	[36,49)	[36,49)	[36,49)
426	[36,49)	[36,49)	[36,49)
427	[49,65)	[49,65)	[49,65)
428	[36,49)	未知	[49,65)
429	[29,36)	<29	[36,49)
430	[36,49)	[36,49)	[36,49)
431	[49,65)	未知	[49,65)
432	>=65	>=65	>=65
433	<29	[29,36)	<29
434	[36,49)	[36,49)	[36,49)
435	[36,49)	[36,49)	[36,49)
436	[49,65)	[49,65)	[49,65)
437	>=65	>=65	[49,65)
438	>=65	>=65	>=65
439	[29,36)	[29,36)	<29
440	[29,36)	[29,36)	[29,36)
441	<29	<29	<29
442	<29	<29	<29
443	[36,49)	[36,49)	[36,49)
444	<29	<29	<29
445	[49,65)	[49,65)	[49,65)
446	>=65	>=65	>=65
447	[49,65)	>=65	[49,65)
448	>=65	>=65	[49,65)
449	[36,49)	[36,49)	[36,49)
450	<29	<29	<29
451	<29	<29	<29
452	>=65	>=65	>=65
453	>=65	>=65	>=65
454	[36,49)	[36,49)	[36,49)
455	[49,65)	[49,65)	>=65
456	>=65	>=65	>=65
457	[36,49)	未知	未知
458	[36,49)	[36,49)	[36,49)
459	<29	<29	<29
460	[29,36)	[29,36)	<29
461	[36,49)	[36,49)	[36,49)
462	>=65	>=65	>=65
463	[36,49)	[29,36)	[36,49)
464	>=65	>=65	>=65
465	[49,65)	[49,65)	[49,65)
466	[29,36)	[29,36)	[29,36)
467	[29,36)	[29,36)	[29,36)
468	>=65	[49,65)	>=65
469	[49,65)	[49,65)	[49,65)
470	[36,49)	[36,49)	[36,49)
471	>=65	[49,65)	>=65
472	[49,65)	[49,65)	[49,65)
473	[49,65)	[49,65)	[49,65)
474	>=65	>=65	>=65
475	>=65	>=65	>=65
476	[29,36)	[29,36)	[29,36)
477	[36,49)	[36,49)	[36,49)
478	>=65	>=65	>=65
479	[29,36)	[29,36)	[29,36)
480	[29,36)	[29,36)	<29
481	[36,49)	[36,49)	[36,49)
482	>=65	>=65	>=65
483	[36,49)	[29,36)	[36,49)
484	<29	<29	<29
485	[29,36)	[29,36)	<29
486	[29,36)	<29	[36,49)
487	[36,49)	[36,49)	[29,36)
488	>=65	>=65	>=65
489	[36,49)	[36,49)	[36,49)
490	[36,49)	[29,36)	[49,65)
491	<29	<29	<29
492	<29	[29,36)	<29
493	>=65	>=65	>=65
494	[29,36)	[29,36)	>=65
495	[29,36)	[29,36)	[29,36)
496	<29	<29	<29
497	[36,49)	[36,49)	[36,49)
498	>=65	>=65	未知
499	>=65	>=65	>=65
500	[29,36)	<29	[29,36)
501	>=65	未知	>=65
502	[49,65)	[49,65)	>=65
503	[29,36)	[29,36)	<29
504	>=65	[36,49)	[36,49)
505	>=65	>=65	>=65
506	[36,49)	[29,36)	[36,49)
507	>=65	[49,65)	>=65
508	[49,65)	[49,65)	[49,65)
509	>=65	>=65	>=65
510	<29	<29	<29
511	[49,65)	[49,65)	[49,65)
512	[36,49)	[29,36)	[36,49)
513	>=65	>=65	[49,65)
514	[36,49)	[36,49)	[36,49)
515	[36,49)	[36,49)	[36,49)
516	>=65	>=65	>=65
517	<29	<29	<29
518	[49,65)	[49,65)	[49,65)
519	[49,65)	[49,65)	>=65
520	[36,49)	[29,36)	[36,49)
521	<29	<29	<29
522	[49,65)	[49,65)	[49,65)
523	[29,36)	[36,49)	[29,36)
524	[29,36)	[29,36)	[29,36)
525	[36,49)	[36,49)	[29,36)
526	[49,65)	[49,65)	[49,65)
527	<29	<29	<29
528	[29,36)	[29,36)	[29,36)
529	<29	<29	<29
530	<29	<29	<29
531	<29	<29	<29
532	[49,65)	[49,65)	>=65
533	[49,65)	[49,65)	>=65
534	[49,65)	[49,65)	>=65
535	[49,65)	[49,65)	[49,65)
536	[36,49)	[36,49)	[36,49)
537	<29	<29	<29
538	[36,49)	[36,49)	[36,49)
539	[49,65)	>=65	[49,65)
540	[29,36)	[29,36)	[29,36)
541	[36,49)	[36,49)	[36,49)
542	[49,65)	未知	[49,65)
543	[36,49)	未知	[49,65)
544	<29	<29	<29
545	>=65	>=65	>=65
546	<29	<29	<29
547	[29,36)	[29,36)	[29,36)
548	>=65	>=65	>=65
549	<29	<29	>=65
550	<29	<29	<29
551	<29	<29	[36,49)
552	[29,36)	[36,49)	<29
553	>=65	[49,65)	>=65
554	[36,49)	未知	[49,65)
555	<29	<29	<29
556	[49,65)	[49,65)	[49,65)
557	>=65	>=65	>=65
558	[49,65)	[36,49)	[36,49)
559	[36,49)	未知	[49,65)
560	[36,49)	[36,49)	[36,49)
561	[29,36)	[36,49)	[29,36)
562	[36,49)	未知	[49,65)
563	>=65	>=65	>=65
564	>=65	>=65	>=65
565	>=65	>=65	>=65
566	[36,49)	[36,49)	[36,49)
567	<29	<29	[49,65)
568	[36,49)	[36,49)	[36,49)
569	[36,49)	[36,49)	[36,49)
570	[36,49)	[36,49)	[36,49)
571	[49,65)	未知	>=65
572	>=65	>=65	>=65
573	[29,36)	[29,36)	[36,49)
574	>=65	>=65	>=65
575	>=65	>=65	>=65
576	[29,36)	[29,36)	[36,49)
577	[49,65)	>=65	[49,65)
578	[36,49)	<29	[49,65)
579	>=65	>=65	>=65
580	[49,65)	[49,65)	>=65
581	>=65	>=65	>=65
582	[49,65)	[49,65)	[49,65)
583	[36,49)	[36,49)	[36,49)
584	[49,65)	[49,65)	[49,65)
585	<29	<29	[29,36)
586	<29	<29	<29
587	[36,49)	[36,49)	[36,49)
588	>=65	>=65	>=65
589	[49,65)	未知	[49,65)
590	[49,65)	[36,49)	[36,49)
591	[36,49)	[36,49)	[36,49)
592	>=65	>=65	>=65
593	>=65	>=65	>=65
594	[49,65)	>=65	[49,65)
595	[29,36)	[36,49)	[29,36)
596	[29,36)	[29,36)	[29,36)
597	>=65	>=65	>=65
598	<29	<29	<29
599	<29	<29	[36,49)
600	[36,49)	[29,36)	[49,65)
601	>=65	>=65	未知
602	<29	<29	<29
603	[36,49)	[36,49)	[36,49)
604	<29	<29	[36,49)
605	[36,49)	[36,49)	[36,49)
606	<29	<29	[29,36)
607	[36,49)	未知	[49,65)
608	>=65	>=65	>=65
609	[49,65)	[49,65)	[49,65)
610	<29	<29	<29
611	[49,65)	[49,65)	>=65
612	[29,36)	[29,36)	[36,49)
613	>=65	>=65	>=65
614	<29	<29	<29
615	[36,49)	[36,49)	[36,49)
616	>=65	>=65	>=65
617	<29	<29	<29
618	<29	<29	<29
619	[49,65)	[49,65)	[49,65)
620	<29	<29	<29
621	>=65	>=65	>=65
622	<29	<29	[29,36)
623	[49,65)	未知	[49,65)
624	>=65	[36,49)	[36,49)
625	[49,65)	[36,49)	[36,49)
626	>=65	>=65	>=65
627	[49,65)	未知	[49,65)
628	[49,65)	[49,65)	[49,65)
629	<29	<29	[36,49)
630	>=65	>=65	>=65
631	>=65	>=65	>=65
632	>=65	>=65	>=65
633	>=65	>=65	>=65
634	>=65	>=65	>=65
635	[29,36)	[29,36)	<29
636	<29	<29	<29
637	>=65	>=65	>=65
638	<29	<29	[29,36)
639	[36,49)	[36,49)	[36,49)
640	[29,36)	[36,49)	[29,36)
641	[49,65)	未知	>=65
642	[36,49)	[36,49)	[36,49)
643	<29	<29	<29
644	>=65	>=65	>=65
645	>=65	>=65	[49,65)
646	<29	<29	<29
647	>=65	>=65	[49,65)
648	[49,65)	[49,65)	[49,65)
649	>=65	>=65	>=65
650	[49,65)	[49,65)	[49,65)
651	[29,36)	[36,49)	[29,36)
652	[49,65)	[49,65)	>=65
653	<29	<29	<29
654	[49,65)	[49,65)	[49,65)
655	[49,65)	[49,65)	[49,65)
656	<29	<29	<29
657	>=65	未知	>=65
658	[36,49)	未知	[36,49)
659	[36,49)	[36,49)	[36,49)
660	[36,49)	[36,49)	[36,49)
661	<29	<29	[29,36)
662	[36,49)	[36,49)	[36,49)
663	[36,49)	未知	[49,65)
664	[49,65)	[49,65)	>=65
665	<29	<29	<29
666	[29,36)	[29,36)	[29,36)
667	[29,36)	<29	[36,49)
668	[29,36)	[29,36)	>=65
669	[29,36)	[29,36)	<29
670	[36,49)	[36,49)	[36,49)
671	[36,49)	[36,49)	[36,49)
672	>=65	>=65	>=65
673	>=65	>=65	>=65
674	[36,49)	[36,49)	[36,49)
675	[36,49)	未知	[49,65)
676	<29	<29	<29
677	[49,65)	[49,65)	>=65
678	[29,36)	[29,36)	[29,36)
679	<29	<29	<29
680	[49,65)	[49,65)	>=65
681	>=65	[49,65)	>=65
682	<29	<29	<29
683	<29	<29	[29,36)
684	[36,49)	[36,49)	[36,49)
685	>=65	>=65	>=65
686	>=65	>=65	[49,65)
687	>=65	>=65	>=65
688	<29	<29	<29
689	[49,65)	[49,65)	>=65
690	>=65	>=65	>=65
691	[29,36)	<29	[29,36)
692	>=65	[49,65)	>=65
693	<29	<29	[29,36)
694	>=65	>=65	>=65
695	[29,36)	[36,49)	[29,36)
696	>=65	[49,65)	>=65
697	[29,36)	[29,36)	<29
698	[49,65)	>=65	[49,65)
699	>=65	>=65	>=65
700	[29,36)	<29	[29,36)
701	[36,49)	[36,49)	[36,49)
702	>=65	>=65	>=65
703	[49,65)	[49,65)	[49,65)
704	[29,36)	[29,36)	[29,36)
705	>=65	>=65	>=65
706	[36,49)	[36,49)	[36,49)
707	[29,36)	[29,36)	[29,36)
708	[36,49)	[36,49)	[36,49)
709	[49,65)	[36,49)	[36,49)
710	[36,49)	未知	[49,65)
711	[36,49)	[36,49)	[36,49)
712	[36,49)	[36,49)	[36,49)
713	[49,65)	[49,65)	[49,65)
714	[49,65)	>=65	[49,65)
715	[49,65)	[36,49)	[36,49)
716	<29	<29	<29
717	[49,65)	[49,65)	>=65
718	[36,49)	[36,49)	[36,49)
719	<29	<29	<29
720	[49,65)	[49,65)	[49,65)
721	[36,49)	[36,49)	[36,49)
722	[49,65)	[49,65)	[49,65)
723	[36,49)	[36,49)	[36,49)
724	[49,65)	[49,65)	[49,65)
725	>=65	>=65	>=65
726	[49,65)	[49,65)	>=65
727	<29	<29	<29
728	[49,65)	[49,65)	>=65
729	[49,65)	[49,65)	>=65
730	>=65	>=65	>=65
731	[29,36)	[29,36)	<29
732	[36,49)	[36,49)	[29,36)
733	>=65	>=65	>=65
734	>=65	>=65	>=65
735	>=65	>=65	>=65
736	[49,65)	[36,49)	[36,49)
737	[36,49)	[36,49)	[36,49)
738	<29	<29	[36,49)
739	[36,49)	[36,49)	[36,49)
740	[29,36)	[29,36)	[36,49)
741	[36,49)	[36,49)	[36,49)
742	[29,36)	[29,36)	[29,36)
743	[36,49)	[36,49)	[36,49)
744	[36,49)	[36,49)	[36,49)
745	[29,36)	[29,36)	[29,36)
746	[49,65)	[36,49)	[36,49)
747	[36,49)	[36,49)	[36,49)
748	[36,49)	[36,49)	[36,49)
749	>=65	>=65	[49,65)
750	<29	<29	<29
751	>=65	>=65	>=65
752	[29,36)	[36,49)	<29
753	[49,65)	未知	[49,65)
754	[29,36)	[36,49)	<29
755	>=65	>=65	>=65
756	[29,36)	[29,36)	[29,36)
757	>=65	>=65	>=65
758	>=65	>=65	>=65
759	[29,36)	[29,36)	[36,49)
760	<29	<29	<29
761	>=65	>=65	>=65
762	>=65	>=65	>=65
763	[49,65)	未知	[49,65)
764	[36,49)	[36,49)	[36,49)
765	[49,65)	[49,65)	[49,65)
766	<29	<29	<29
767	[36,49)	[36,49)	[36,49)
768	[29,36)	[29,36)	[29,36)
769	>=65	>=65	>=65
770	>=65	>=65	>=65
771	[49,65)	未知	[49,65)
772	[49,65)	未知	[49,65)
773	[29,36)	<29	[29,36)
774	[36,49)	[29,36)	[36,49)
775	[29,36)	<29	[36,49)
776	[36,49)	[36,49)	[36,49)
777	[29,36)	[29,36)	[29,36)
778	[49,65)	[36,49)	[36,49)
779	<29	<29	未知
780	<29	<29	<29
781	[36,49)	[36,49)	[36,49)
782	[29,36)	[29,36)	[29,36)
783	>=65	>=65	>=65
784	<29	<29	<29
785	[36,49)	[36,49)	[36,49)
786	[49,65)	未知	[49,65)
787	<29	<29	<29
788	[29,36)	[29,36)	[29,36)
789	>=65	>=65	>=65
790	[29,36)	[29,36)	[29,36)
791	[36,49)	[36,49)	[36,49)
792	[36,49)	[36,49)	[36,49)
793	>=65	[49,65)	>=65
794	[29,36)	[29,36)	[36,49)
795	<29	<29	<29
796	[29,36)	[29,36)	[36,49)
797	<29	<29	<29
798	[36,49)	未知	[49,65)
799	[49,65)	[49,65)	[49,65)
800	>=65	>=65	[49,65)
801	>=65	>=65	>=65
802	[49,65)	[49,65)	[49,65)
803	>=65	>=65	>=65
804	>=65	>=65	>=65
805	[49,65)	[49,65)	[49,65)
806	[29,36)	[29,36)	[29,36)
807	[36,49)	[36,49)	[36,49)
808	[36,49)	未知	>=65
809	>=65	>=65	>=65
810	[49,65)	[36,49)	[36,49)
811	>=65	[49,65)	>=65
812	[49,65)	>=65	[49,65)
813	<29	<29	<29
814	[36,49)	[36,49)	[36,49)
815	[36,49)	[36,49)	[36,49)
816	[36,49)	[36,49)	[36,49)
817	>=65	>=65	>=65
818	>=65	>=65	>=65
819	[29,36)	[29,36)	[29,36)
820	<29	<29	<29
821	[36,49)	[36,49)	[36,49)
822	>=65	>=65	>=65
823	[29,36)	[29,36)	[29,36)
824	>=65	>=65	>=65
825	[49,65)	[49,65)	>=65
826	<29	<29	<29
827	[49,65)	[49,65)	[49,65)
828	[36,49)	[36,49)	[36,49)
829	<29	<29	<29
830	>=65	>=65	>=65
831	[49,65)	[36,49)	[36,49)
832	<29	<29	[29,36)
833	>=65	>=65	>=65
834	[29,36)	[29,36)	[29,36)
835	<29	<29	<29
836	[36,49)	[36,49)	[36,49)
837	[36,49)	[36,49)	[36,49)
838	[36,49)	[36,49)	[29,36)
839	[49,65)	[36,49)	[36,49)
840	[49,65)	[49,65)	>=65
