wm_food_spu_id	wm_food_spu_name	price	category	ingredients	taste	stand_food_id	stand_food_name
150	5a1952-042150-083121-a43031-3a316	15.0	[6]	[1, 3, 18, 106, 86, 80, 107]	[13]	87	083121-a43031-3a316
151	c53116-4b2403-d72063-fe3258-2c1019-fc3373-f82023	12.9	[74]	[108]	NULL	88	2c1019-fc3373-f82023-c53116-4b2403-d72063
152	a71403-174019-d82616-a53996-dc2613	5.99	[75]	NULL	NULL	89	a71403-174019-d82616
153	f71679-66151-7a410-141126-3a316	30.0	[11, 12, 13]	[106]	NULL	90	7a410-141126-3a316
154	c22442-d72077-11995-262624-121306-9b2653-971769-272349-121306-d52541-272349	11.0	NULL	NULL	NULL	NULL	NULL
155	8a2234-c23605-4a2318-cf2679-121306-8a2234-772477-272349-032517	22.0	[11, 12, 13]	[109]	[1]	91	c23605-4a2318-cf2679
156	fa2505-0e880-2043-2c1019-be1093	98.0	[11, 12, 13]	NULL	NULL	NULL	NULL
157	1f2314-604088-c62143-c94046-623009-66812-c62143-f91501-43819-b43550	42.9	[0]	NULL	NULL	NULL	NULL
158	a33280-35715-1a564-d72063	26.0	[76, 77]	[110]	NULL	92	a33280-35715-1a564-d72063
159	b2193-251491-a92470-4b1639-6f2455-121306-971769-582418-d686-df2800-4d2128-272349	21.0	[78]	[52]	NULL	NULL	NULL
160	dd1152-541643-262624-9f3414-df2800	3.9	[8, 9]	NULL	NULL	NULL	NULL
161	f34-f51944-cf1867-a92470-121306-231660-971769-272349	22.0	NULL	NULL	NULL	NULL	NULL
162	323291-233398-083121-a43031-3a316	2.0	[6]	[1, 2, 3, 111, 107]	[8]	93	323291-233398-083121-a43031-3a316
163	753281-381294-a22084-262624-653654-231660-971769	18.0	[79]	NULL	NULL	NULL	NULL
164	dd2480-552153-032517-552153-ca3937-dc3924-3d2304-bd319-e41314-121306-16978-e01010-ac854-272349	80.0	[0]	NULL	NULL	NULL	NULL
165	8b2706-611678-a0318-9d1564-d92985-653615	2.98	[80]	[112]	NULL	NULL	NULL
166	6b2824-bd1606-871834-1c925-262624	15.0	[59]	[113, 114, 115]	NULL	94	6b2824-bd1606-871834-1c925-262624
167	b12072-fc3373-a32507-f91501-28807-442854	88.0	[32, 33]	NULL	NULL	NULL	NULL
168	a4961-59366-042150-c22442-d72077-11995-262624	21.0	[73]	[105]	NULL	95	c22442-d72077-11995-262624
169	bf813-451278-262624-8a2234-c23605-0a271-a0318	25.0	[11, 12, 13]	NULL	NULL	96	451278-262624-c23605-0a271-a0318
170	ee867-a8274-6b3409-a8274-082380-8a2234-342412-981676-bd3656-251116	39.9	[42]	[100]	NULL	97	082380-8a2234-342412-981676
171	c31718-c34009-1c3103-1c925	38.0	[64]	[2, 5]	[1]	98	c31718-c34009-1c3103-1c925
172	323291-233398-083121-a43031-a0318-121306-8a2234-502358-272349	2.99	[81]	[82, 107]	[8]	99	323291-233398-083121-a43031-a0318
173	b11783-b11783-b11783-a81828-db1604-5a537-174019-a71403-174019-d82616-121306-1a3597-7b3179-403289-272349	4.0	[75]	NULL	NULL	100	a81828-db1604-5a537-174019-a71403-174019-d82616
174	8a2234-43819-e21548-4a2318-083121-a44092-b82604	38.0	[82]	[21, 116, 113, 117, 118, 80, 119]	[17]	101	8a2234-43819-e21548-4a2318-b82604
175	121306-d556-5f732-272349-be1042-401535-7c2633-f83517-bd319-e41314	34.8	[0]	NULL	NULL	NULL	NULL
176	9a409-0b1820-3f3154	4.98	[83]	NULL	NULL	NULL	NULL
177	5e1438-243077-2b2091-5f38-121306-231660-971769-172472-a53996-272349	64.0	[84]	[120]	NULL	102	5e1438-243077-2b2091-5f38
178	7f4028-df2800-141126-6f1612	16.0	[6]	[1, 2, 22, 111, 121]	[1]	103	7f4028-df2800-141126-6f1612
179	0b1820-5d3634-87965-633547-c2733-251491	32.0	NULL	NULL	NULL	NULL	NULL
180	f42916-2c1019-81588-c2733-df2800-de2424-402923-3c1399-d63854-e41314-2d4026-1b1099	37.0	[0]	[24]	NULL	NULL	NULL
181	ed1709-4c2815-c2733-df2800-de2424-ef3399-0b376-0b376-1b1099	11.5	[32, 33]	[48]	NULL	NULL	NULL
182	f81893-193506	5.0	[54]	[122]	NULL	46	f81893-193506
183	c31718-232727-141126-47115	35.0	[11, 12, 13]	[14, 2, 123, 15]	[13]	104	c31718-232727-141126-47115
184	553155	0.5	[18]	NULL	NULL	NULL	NULL
185	98742-b84059-993556-d72063	20.0	[49]	[1, 42, 111, 124]	NULL	105	993556-d72063
186	52727-072768-fa4015-2b3552-121306-101946-572883-c34009-2c1019-101946-ae786-272349	16.0	[85]	[125]	NULL	106	fa4015-2b3552
187	753219-6f1295-2f3404-322951-de2424-4a3834-c6828	26.0	[11, 12, 13]	[59]	[8]	107	de2424-4a3834-c6828
188	de1296-121725-f2255-031473-e84090-ae786-16978-e84090	32.8	[86]	NULL	NULL	NULL	NULL
189	e52645-f32176-d71618-be2952-ea2006-2c1019-df2800-f91501-812352-4a2318-f91501-dd3028-81588	13.98	[87]	[126]	NULL	108	812352-4a2318-2c1019-df2800-dd3028-81588-e52645-f32176-d71618
190	a21596-af2835-492461-611678-d71618-121306-253349-7372-272349-121306-441442-ed3568-3d2304-c23605-b43550-272349	4.0	[88]	[97]	NULL	109	492461-611678-d71618
191	11995-552471-3a1157-c2733-b12072-4c2815	25.0	[55, 56]	[127, 98, 128, 53, 99, 129]	NULL	110	11995-552471-c2733-b12072-4c2815
192	233398-c23605-64662-66812-3a316	52.0	[11, 12, 13]	[2, 6, 7, 96, 56]	NULL	111	233398-c23605-64662-66812
193	212715-e93918-c23609-323291-7e970-a9774-661087-dc2884	29.0	[14]	[8]	NULL	NULL	NULL
194	082380-233398-4a3834-a9774	8.8	[89]	[2, 6, 15, 130]	[9]	112	6d2875-4a3834-a9774
195	5e2725-042150-af3837-f82023-121306-a53996-7372-272349	4.58	[23]	NULL	NULL	NULL	NULL
196	NULL	21.0	NULL	NULL	NULL	NULL	NULL
197	f81893-713861-f81893-193506-f91501-f91501-f91501-f91501-f91501-121306-84752-572883-101946-ae786-272349	7.0	[54]	NULL	NULL	NULL	NULL
198	231660-5f1609-2c1019-a23694-d72063	22.0	[49]	[125, 14, 44, 45, 24, 6, 86, 82, 15, 13, 101, 50]	NULL	113	231660-5f1609-2c1019-a23694-d72063
199	6a3579-d556-101946-233398-693510-f41536-323291-202317-0f2811-901015-901015-901015-901015-901015-901015-901015-901015-901015-901015-901015-901015-901015	4.0	NULL	NULL	NULL	NULL	NULL
200	021794-e33426-fc3373-121306-9d1564-d92985-2522-292096-021794-cd3847-87965-633547-c23605-272349	8.8	[3]	[4]	NULL	NULL	NULL
201	e42593-e0770-863895-dd2480-7372-121306-403983-791923-272349	3.9	[90]	NULL	NULL	NULL	NULL
202	c53116-2043-141126-a0318	3.0	[15, 16, 31]	[2, 45, 34]	NULL	NULL	NULL
203	121306-ae2775-ac854-403289-272349-253349-e01010-c21871-00945-742627-b2193-731761-d81534-121306-323291-323291-a93677-402231-272349	288.0	[69]	NULL	NULL	NULL	NULL
204	773931-323291-2c1019-8a2234-772477-ea2006-43819-b43550-ea2006-353977-032268-f51944-e93918	40.88	[0]	NULL	NULL	NULL	NULL
205	NULL	43.0	NULL	NULL	NULL	NULL	NULL
206	323291-0b1820-c72131	22.0	[64]	[58]	NULL	114	323291-0b1820-c72131
207	68558-e72968-853235-323291-11995-451278-121306-3e1059-112693-d63854-1b955-e31999-38958-c22442-d72077-272349	18.0	[73]	NULL	NULL	NULL	NULL
208	f62276-3c1399-e21103-2d2087-1b592-1f2100-d72063-e33426	18.0	[55, 56]	[131]	[3]	115	1b592-1f2100-d72063-e33426
209	322524-082380-d686-361622-c53116-66812-b43550-bd319-e41314-121306-3d2304-4a2318-f91501-893131-7f1073-4a2318-f91501-43819-b43550-f91501-831064-d42982-272349	41.8	[0]	NULL	NULL	NULL	NULL
210	402923-5a537-aa2833-43819-b43550	4.0	[25]	[27]	[3]	16	43819-b43550
211	121306-6a3579-d556-95452-22469-272349-a93922-611678-dd3466-10905	18.0	[91]	[97]	NULL	NULL	NULL
212	5c1030-022488-233398-1c925-2c1019	38.0	[11, 12, 13]	[17, 14, 2, 3, 24, 6, 106, 82, 15, 132, 49]	[9]	116	5c1030-022488-233398-1c925-2c1019
213	dd3028-231660-572883-1d983-1d983-1d983	0.0	[65]	NULL	NULL	NULL	NULL
214	653760-66812-2c1019-81588-442854-84752-e01010-e41314-d52541-1b1099	41.0	NULL	NULL	NULL	NULL	NULL
215	5a2198-252117-082380-233398-2c1019-a13945-69229-e01010-bd319-e41314-121306-802635-6d3428-272349	123.0	NULL	NULL	NULL	NULL	NULL
216	121306-231660-772477-272349-2c1019-df2800-89610-4a2318-d62216-1c925-a53996-dd2480-7372	49.0	[24]	NULL	[1]	117	89610-4a2318-2c1019-df2800-d82616-d62216
217	083121-c02692-b03873	3.3	[92]	[14, 18, 86, 133, 13, 70]	NULL	NULL	NULL
218	fc3373-fd3252-623009-f42330-b43550-f91501-231660-a22084-7f1133-e52645-c63006-11995-262624-bd319-e41314	38.5	[0]	NULL	NULL	NULL	NULL
219	NULL	21.0	NULL	NULL	NULL	NULL	NULL
220	121306-cf2346-022908-272349-b2193-fc3373-442854-bd319-e41314-2d4026-292238-1b3461-ea2006-652546-292238-a22132-99196	51.8	[0]	NULL	NULL	NULL	NULL
